Date,Category,Type,Amount
2023-11-16,Marketing,Expense,8309.44
2023-07-10,Service Fees,Expense,5022.53
2023-09-01,Service Fees,Revenue,4294.44
2024-07-14,Office Rent,Expense,6228.71
2024-03-22,Marketing,Expense,6838.47
2023-12-20,Software Licenses,Revenue,5814.8
2024-05-24,Product Sales,Expense,7276.91
2023-06-05,Marketing,Revenue,7881.05
2024-05-16,Software Licenses,Revenue,760.37
2023-01-17,Salaries,Expense,665.47
2024-12-14,Software Licenses,Revenue,6793.92
2023-06-20,Product Sales,Revenue,7132.94
2023-01-29,Marketing,Revenue,9220.81
2023-04-16,Marketing,Expense,5119.34
2024-05-30,Product Sales,Expense,5671.53
2024-08-31,Salaries,Expense,4702.35
2023-01-20,Marketing,Revenue,3490.93
2024-02-02,Software Licenses,Revenue,1304.08
2024-06-01,Product Sales,Revenue,9839.89
2023-12-03,Software Licenses,Revenue,974.71
2023-05-27,Software Licenses,Expense,9285.44
2024-08-23,Office Rent,Revenue,3013.27
2024-06-21,Service Fees,Expense,7734.88
2023-05-03,Software Licenses,Revenue,5009.22
2024-02-09,Marketing,Revenue,9402.41
2023-10-20,Salaries,Expense,8499.07
2024-05-31,Software Licenses,Revenue,7639.93
2023-12-20,Marketing,Expense,6391.08
2023-09-24,Product Sales,Revenue,1793.2
2023-06-30,Office Rent,Expense,4121.77
2024-05-18,Office Rent,Revenue,6453.22
2024-02-15,Salaries,Revenue,9045.46
2023-10-10,Software Licenses,Expense,3710.63
2023-11-27,Office Rent,Revenue,3249.65
2024-08-06,Software Licenses,Revenue,7284.1
2024-03-29,Utilities,Revenue,8830.39
2024-06-20,Salaries,Expense,851.27
2023-11-19,Product Sales,Revenue,3127.84
2023-07-19,Office Rent,Expense,1018.24
2024-01-23,Office Rent,Revenue,5184.28
2024-03-04,Product Sales,Revenue,7535.59
2024-08-09,Software Licenses,Expense,2675.36
2023-06-03,Product Sales,Revenue,6961.82
2024-10-09,Product Sales,Revenue,9239.24
2023-06-15,Service Fees,Expense,4293.17
2024-03-05,Service Fees,Revenue,4466.43
2024-07-08,Service Fees,Revenue,6027.27
2023-07-18,Service Fees,Revenue,8478.63
2023-12-30,Salaries,Expense,5689.09
2023-05-27,Office Rent,Expense,3184.83
2024-01-29,Utilities,Revenue,7730.33
2024-04-11,Service Fees,Revenue,4850.94
2024-12-07,Salaries,Revenue,7580.65
2023-03-26,Marketing,Revenue,1375.93
2023-07-29,Product Sales,Expense,5448.62
2024-01-10,Software Licenses,Expense,1123.73
2024-03-06,Software Licenses,Expense,5591.92
2024-10-26,Marketing,Revenue,1601.17
2024-08-19,Utilities,Expense,6768.03
2023-12-31,Salaries,Expense,1098.06
2024-10-01,Salaries,Revenue,2595.46
2024-06-25,Service Fees,Expense,2628.26
2023-12-04,Utilities,Revenue,1972.36
2023-11-10,Software Licenses,Expense,7785.09
2024-04-01,Service Fees,Revenue,2991.33
2023-04-15,Office Rent,Revenue,755.09
2023-05-03,Office Rent,Expense,4105.53
2024-07-27,Service Fees,Expense,2113.66
2024-04-02,Marketing,Expense,2056.26
2023-01-28,Salaries,Expense,7889.23
2024-02-10,Office Rent,Expense,10305.59
2023-08-23,Utilities,Expense,4003.07
2023-06-22,Salaries,Revenue,7848.73
2024-06-02,Software Licenses,Revenue,5481.83
2024-05-27,Product Sales,Revenue,9252.37
2024-09-01,Office Rent,Revenue,7780.28
2023-09-03,Marketing,Revenue,2326.54
2024-05-31,Marketing,Expense,6890.32
2024-12-16,Software Licenses,Revenue,8831.45
2023-01-25,Utilities,Expense,6244.53
2023-07-20,Salaries,Expense,4866.03
2024-10-31,Salaries,Expense,9449.76
2023-02-19,Product Sales,Revenue,7842.27
2024-08-16,Service Fees,Expense,1389.44
2023-10-03,Office Rent,Revenue,7464.49
2024-02-19,Salaries,Expense,10236.23
2023-10-27,Software Licenses,Revenue,4409.04
2023-01-12,Salaries,Expense,7477.76
2023-07-11,Salaries,Revenue,3637.91
2024-05-20,Salaries,Revenue,8049.94
2024-05-25,Marketing,Expense,6748.53
2023-06-11,Service Fees,Expense,3703.97
2024-01-08,Service Fees,Expense,2536.35
2024-04-19,Office Rent,Revenue,6298.72
2023-07-20,Service Fees,Revenue,4894.35
2023-08-28,Office Rent,Expense,6618.63
2023-09-11,Office Rent,Expense,321.46
2024-11-18,Office Rent,Revenue,4720.7
2023-10-12,Software Licenses,Revenue,3153.64
2024-08-06,Service Fees,Expense,5379.49
2024-01-06,Product Sales,Revenue,9841.04
2024-05-13,Salaries,Revenue,3834.49
2023-07-18,Utilities,Expense,7724.56
2024-02-29,Service Fees,Revenue,3024.53
2024-03-02,Salaries,Expense,5265.45
2024-05-11,Software Licenses,Expense,6677.06
2024-08-08,Salaries,Expense,8275.0
2024-06-16,Software Licenses,Expense,3771.12
2023-08-26,Salaries,Expense,6885.65
2024-01-05,Office Rent,Revenue,10269.44
2024-03-20,Marketing,Expense,4264.57
2023-11-04,Utilities,Revenue,9566.25
2023-10-14,Marketing,Revenue,7859.6
2023-12-19,Service Fees,Expense,6328.47
2023-01-12,Salaries,Revenue,9113.15
2023-05-14,Office Rent,Expense,10759.46
2023-07-17,Service Fees,Revenue,8529.95
2023-07-29,Marketing,Revenue,8736.05
2024-01-20,Service Fees,Revenue,9876.98
2024-02-29,Software Licenses,Revenue,2587.41
2024-08-11,Utilities,Revenue,6439.72
2023-07-27,Service Fees,Expense,6052.95
2024-04-06,Salaries,Expense,2284.64
2023-11-13,Product Sales,Expense,5335.25
2023-08-11,Service Fees,Revenue,9993.63
2023-05-24,Utilities,Revenue,2498.76
2024-02-25,Office Rent,Expense,7993.81
2023-11-13,Office Rent,Revenue,4353.15
2024-04-15,Office Rent,Expense,9909.42
2023-12-31,Utilities,Revenue,7951.88
2023-06-03,Software Licenses,Revenue,7341.87
2023-11-08,Utilities,Expense,4293.73
2024-10-26,Salaries,Revenue,3118.54
2023-07-01,Service Fees,Expense,4930.2
2024-02-21,Marketing,Revenue,6584.08
2023-03-14,Service Fees,Expense,3660.17
2023-10-29,Software Licenses,Expense,9986.41
2024-02-26,Service Fees,Revenue,9824.58
2024-01-03,Software Licenses,Expense,1825.51
2023-04-13,Product Sales,Expense,8337.74
2023-01-18,Marketing,Expense,3961.45
2024-06-03,Software Licenses,Expense,4882.79
2023-12-19,Software Licenses,Revenue,5396.74
2023-04-25,Service Fees,Revenue,5857.52
2023-01-24,Office Rent,Revenue,1413.61
2023-09-25,Product Sales,Revenue,5420.72
2023-02-16,Product Sales,Revenue,2645.82
2023-08-31,Marketing,Revenue,6880.02
2024-07-05,Marketing,Expense,3110.95
2024-01-24,Marketing,Expense,5122.46
2024-03-09,Office Rent,Revenue,7851.69
2023-11-08,Service Fees,Expense,8845.16
2024-11-30,Utilities,Expense,4931.02
2024-04-29,Salaries,Revenue,6867.44
2024-01-25,Salaries,Expense,5100.86
2023-12-13,Product Sales,Revenue,6817.63
2024-01-07,Salaries,Revenue,9437.59
2023-01-20,Salaries,Revenue,8949.94
2023-04-02,Salaries,Expense,1613.17
2022-12-30,Office Rent,Expense,6967.89
2024-12-14,Salaries,Revenue,7699.85
2023-04-30,Marketing,Revenue,10131.64
2024-05-05,Office Rent,Expense,3457.03
2023-10-27,Utilities,Expense,7007.28
2023-11-08,Utilities,Expense,6837.85
2024-05-12,Utilities,Revenue,9833.99
2024-12-16,Salaries,Expense,3821.81
2023-09-25,Marketing,Revenue,9516.95
2023-11-04,Salaries,Expense,8248.46
2024-02-12,Salaries,Expense,2799.34
2023-06-05,Service Fees,Expense,2832.71
2023-01-06,Utilities,Expense,9276.56
2024-08-02,Service Fees,Expense,8709.06
2023-09-24,Service Fees,Expense,7425.5
2023-10-21,Salaries,Revenue,10281.73
2023-05-06,Marketing,Expense,10385.3
2024-05-16,Marketing,Expense,6635.27
2024-04-14,Salaries,Expense,1786.51
2024-02-24,Salaries,Expense,3368.1
2024-01-19,Marketing,Expense,9753.46
2023-05-07,Marketing,Expense,9984.53
2023-08-02,Utilities,Expense,5276.35
2024-01-22,Software Licenses,Revenue,7416.66
2023-11-28,Marketing,Expense,3210.82
2024-06-13,Utilities,Expense,5057.91
2023-05-25,Utilities,Revenue,7175.18
2024-04-13,Software Licenses,Expense,3423.43
2024-12-16,Product Sales,Expense,6722.08
2023-04-16,Marketing,Revenue,3880.81
2023-11-07,Product Sales,Revenue,4341.54
2024-06-07,Marketing,Revenue,2061.63
2023-01-17,Utilities,Expense,3524.82
2024-09-14,Utilities,Expense,3264.01
2023-12-10,Product Sales,Expense,8906.36
2023-11-28,Utilities,Expense,7209.59
2023-08-23,Service Fees,Revenue,1687.92
2023-06-18,Utilities,Expense,5075.94
2023-09-26,Salaries,Expense,4529.58
2023-03-17,Office Rent,Expense,4748.14
2023-03-17,Office Rent,Expense,929.66
2024-10-16,Marketing,Revenue,4478.03
2023-11-02,Salaries,Expense,2610.94
2023-06-01,Software Licenses,Revenue,6012.5
2023-04-25,Product Sales,Revenue,5862.3
2024-01-30,Product Sales,Revenue,9415.92
2023-10-08,Marketing,Revenue,9225.54
2023-09-29,Utilities,Revenue,4782.82
2024-02-08,Utilities,Revenue,2236.43
2023-06-27,Office Rent,Revenue,5987.94
2024-10-13,Service Fees,Revenue,947.51
2023-09-16,Office Rent,Revenue,5826.16
2024-10-14,Service Fees,Revenue,3781.99
2024-05-27,Product Sales,Expense,2047.86
2024-08-17,Office Rent,Expense,1070.33
2024-12-24,Office Rent,Revenue,1004.37
2023-05-11,Office Rent,Expense,5990.66
2023-08-06,Software Licenses,Expense,6882.87
2023-05-03,Utilities,Expense,6317.25
2024-04-08,Salaries,Revenue,3155.62
2023-02-01,Service Fees,Expense,7332.95
2023-05-01,Software Licenses,Revenue,5848.9
2023-08-25,Service Fees,Expense,8512.02
2024-08-17,Software Licenses,Expense,4419.09
2024-09-06,Software Licenses,Expense,6409.8
2023-06-20,Utilities,Revenue,4785.51
2024-01-15,Service Fees,Revenue,7989.55
2024-08-13,Service Fees,Expense,5187.84
2023-10-04,Service Fees,Revenue,5063.58
2024-09-17,Software Licenses,Revenue,3341.95
2023-08-27,Service Fees,Expense,2703.2
2023-10-20,Product Sales,Revenue,8139.17
2024-10-09,Marketing,Revenue,2648.12
2023-11-06,Service Fees,Expense,5245.2
2023-10-23,Software Licenses,Revenue,4952.69
2024-08-12,Salaries,Expense,7166.62
2023-09-03,Utilities,Expense,3716.0
2023-06-20,Utilities,Revenue,7684.47
2024-12-04,Office Rent,Expense,7136.46
2024-04-17,Product Sales,Expense,9604.55
2024-07-23,Office Rent,Expense,8141.71
2023-06-29,Salaries,Revenue,3993.46
2024-07-14,Service Fees,Revenue,845.68
2024-07-28,Marketing,Revenue,2880.9
2024-10-23,Software Licenses,Revenue,8547.4
2023-09-18,Service Fees,Expense,2323.07
2024-03-02,Product Sales,Expense,2531.12
2024-10-27,Product Sales,Revenue,4095.74
2023-04-14,Office Rent,Revenue,10868.65
2024-05-16,Utilities,Expense,1473.55
2023-10-05,Marketing,Revenue,7055.57
2024-03-20,Service Fees,Expense,1721.63
2024-01-09,Salaries,Expense,6257.66
2024-05-12,Software Licenses,Expense,973.91
